FirstName,LastName,BirthDate,Gender,EmailAddress,YearlyIncome,EnglishEducation,Phone
Jon,Yang,1971-10-06,M,jon24@adventure-works.com,90000,Bachelors,1 (11) 500 555-0162
Eugene,Huang,1976-05-10,M,eugene10@adventure-works.com,60000,Bachelors,1 (11) 500 555-0110
Ruben,Torres,1971-02-09,M,ruben35@adventure-works.com,60000,Bachelors,1 (11) 500 555-0184
Christy,Zhu,1973-08-14,F,christy12@adventure-works.com,70000,Bachelors,1 (11) 500 555-0162
Elizabeth,Johnson,1979-08-05,F,elizabeth5@adventure-works.com,80000,Bachelors,1 (11) 500 555-0131
Julio,Ruiz,1976-08-01,M,julio1@adventure-works.com,70000,Bachelors,1 (11) 500 555-0151
Janet,Alvarez,1976-12-02,F,janet9@adventure-works.com,70000,Bachelors,1 (11) 500 555-0184
Marco,Mehta,1969-11-06,M,marco14@adventure-works.com,60000,Bachelors,1 (11) 500 555-0126
Rob,Verhoff,1975-07-04,F,rob4@adventure-works.com,60000,Bachelors,1 (11) 500 555-0164
Shannon,Carlson,1969-09-29,M,shannon38@adventure-works.com,70000,Bachelors,1 (11) 500 555-0110
Jacquelyn,Suarez,1969-08-05,F,jacquelyn20@adventure-works.com,70000,Bachelors,1 (11) 500 555-0169
Curtis,Lu,1969-05-03,M,curtis9@adventure-works.com,60000,Bachelors,1 (11) 500 555-0117
Lauren,Walker,1979-01-14,F,lauren41@adventure-works.com,100000,Bachelors,717-555-0164
Ian,Jenkins,1979-08-03,M,ian47@adventure-works.com,100000,Bachelors,817-555-0185
Sydney,Bennett,1973-11-06,F,sydney23@adventure-works.com,100000,Bachelors,431-555-0156
Chloe,Young,1984-08-26,F,chloe23@adventure-works.com,30000,Partial College,208-555-0142
Wyatt,Hill,1984-10-25,M,wyatt32@adventure-works.com,30000,Partial College,135-555-0171
Shannon,Wang,1949-12-24,F,shannon1@adventure-works.com,20000,High School,1 (11) 500 555-0195
Clarence,Rai,1955-10-06,M,clarence32@adventure-works.com,30000,Partial College,1 (11) 500 555-0137
Luke,Lal,1983-09-04,M,luke18@adventure-works.com,40000,High School,262-555-0112
Jordan,King,1984-03-19,M,jordan73@adventure-works.com,40000,High School,550-555-0163
Destiny,Wilson,1984-03-02,F,destiny7@adventure-works.com,40000,Partial College,622-555-0158
Ethan,Zhang,1984-04-10,M,ethan20@adventure-works.com,40000,Partial College,589-555-0185
Seth,Edwards,1984-04-09,M,seth46@adventure-works.com,40000,Partial College,452-555-0188
Russell,Xie,1984-03-16,M,russell7@adventure-works.com,60000,Partial College,746-555-0186
Alejandro,Beck,1951-06-22,M,alejandro45@adventure-works.com,10000,Partial High School,1 (11) 500 555-0178
Harold,Sai,1951-10-01,M,harold3@adventure-works.com,30000,Partial College,1 (11) 500 555-0131
Jessie,Zhao,1952-06-05,M,jessie16@adventure-works.com,30000,Partial College,1 (11) 500 555-0184
Jill,Jimenez,1951-10-09,F,jill13@adventure-works.com,30000,Partial College,1 (11) 500 555-0116
Jimmy,Moreno,1952-06-19,M,jimmy9@adventure-works.com,30000,Partial College,1 (11) 500 555-0146
Bethany,Yuan,1958-02-18,F,bethany10@adventure-works.com,10000,Partial High School,1 (11) 500 555-0182
Theresa,Ramos,1953-02-18,F,theresa13@adventure-works.com,20000,High School,1 (11) 500 555-0195
Denise,Stone,1952-12-08,F,denise10@adventure-works.com,20000,High School,1 (11) 500 555-0169
Jaime,Nath,1958-09-19,M,jaime41@adventure-works.com,20000,High School,1 (11) 500 555-0137
Ebony,Gonzalez,1952-12-16,F,ebony19@adventure-works.com,20000,High School,1 (11) 500 555-0136
Wendy,Dominguez,1953-08-23,F,wendy12@adventure-works.com,10000,Partial High School,1 (11) 500 555-0177
Jennifer,Russell,1984-06-16,F,jennifer93@adventure-works.com,60000,Partial College,115-555-0183
Chloe,Garcia,1983-05-27,F,chloe27@adventure-works.com,40000,Partial High School,229-555-0112
Diana,Hernandez,1953-09-20,F,diana2@adventure-works.com,10000,Partial High School,1 (11) 500 555-0114
Marc,Martin,1954-06-16,M,marc3@adventure-works.com,30000,Partial College,1 (11) 500 555-0183
Jesse,Murphy,1983-01-29,M,jesse15@adventure-works.com,30000,Partial College,961-555-0176
Amanda,Carter,1983-04-15,F,amanda53@adventure-works.com,60000,Partial College,295-555-0145
Megan,Sanchez,1982-12-11,F,megan28@adventure-works.com,70000,Partial College,404-555-0199
Nathan,Simmons,1981-08-23,M,nathan11@adventure-works.com,60000,Partial College,296-555-0181
Adam,Flores,1954-11-21,M,adam10@adventure-works.com,20000,Partial High School,1 (11) 500 555-0163
Leonard,Nara,1955-11-16,M,leonard18@adventure-works.com,30000,High School,1 (11) 500 555-0151
Christine,Yuan,1955-09-19,F,christine4@adventure-works.com,30000,High School,1 (11) 500 555-0113
Jaclyn,Lu,1955-08-27,F,jaclyn12@adventure-works.com,30000,High School,1 (11) 500 555-0137
