Cod_Archivo,Nombres,Anio,Edad,Plataforma,Juego
PT01,james smith,2017,26,PS2,NASCAR 07
PT01,michael smith,2020,23,PS2,Melty Blood: Act Cadenza
PT01,robert smith,2019,18,PSP,Every Extend Extra
PT01,david smith,2015,36,GC,FIFA Street 2
PT01,james johnson,2017,42,DS,Digimon World DS
PT01,michael johnson,2015,40,PS2,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden
PT01,william smith,2017,19,X360,Open Season
PT01,james williams,2019,21,PSP,Eragon
PT01,robert johnson,2020,29,PSP,Brave Story: New Traveler (US sales)
PT01,mary smith,2016,19,PSP,Tales of Phantasia (PS1 & PSP Versions)
PT01,james brown,2015,24,PSP,Avatar: The Last Airbender
PT01,john smith,2018,38,GC,Odama
PT01,david johnson,2019,45,PSP,EA Replay
PT01,michael brown,2020,37,GC,Bionicle Heroes
PT01,maria garcia,2020,31,X360,Pimp My Ride
PT01,michael williams,2019,31,DS,Nicktoons: Unite!
PT01,michael jones,2016,25,PSP,The Godfather: Mob Wars
PT01,james jones,2016,20,PSP,Dragon Quest & Final Fantasy in Itadaki Street Portable
PT01,maria rodriguez,2018,27,DS,Kirarin * Revolution: Kira Kira Idol Audition
PT01,robert brown,2018,45,PS2,Utawarerumono: Chiriyukusha e no Komoriuta
PT01,michael miller,2018,33,PSP,FIFA World Cup Germany 2006
PT01,robert jones,2018,21,PS2,Jampack Volume 14 (RP-T)
PT01,robert williams,2019,36,PSP,World Series of Poker: Tournament of Champions 2007 Edition
PT01,william johnson,2016,25,PS2,Jikkyou Powerful Pro Yakyuu 13 Ketteiban
PT01,james davis,2015,31,DS,X-Men: The Official Game
PT01,mary johnson,2018,34,PS2,Dokapon Kingdom
PT01,maria martinez,2018,26,DS,Retro Game Challenge
PT01,charles smith,2015,27,DS,Ultimate Mortal Kombat
PT01,david brown,2017,23,X360,Monster Madness: Battle for Suburbia
PT01,robert miller,2015,32,DS,The Settlers
PT01,james miller,2020,41,DS,Jake Hunter Detective Story: Memories of the Past
PT01,john williams,2019,27,Wii,Super Swing Golf Season 2
PT01,richard smith,2015,23,DS,Cake Mania
PT01,david williams,2018,21,PSP,Surf's Up
PT01,david jones,2015,26,DS,Pocket Pets
PT01,michael davis,2016,41,DS,Power Rangers: Super Legends
PT01,william brown,2016,42,PS2,MLB Power Pros
PT01,david miller,2017,25,DS,Kousoku Card Battle: Card Hero
PT01,mary williams,2017,38,DS,American Girl: Julie Finds a Way
PT01,jennifer smith,2018,21,Wii,The History Channel: Battle for the Pacific
PT01,william jones,2018,40,Wii,Mobile Suit Gundam: MS Sensen 0079
PT01,john johnson,2015,32,DS,Guitar Rock Tour
PT01,john miller,2020,39,X360,Smash Court Tennis 3
PT01,daniel smith,2015,40,DS,Kouchuu Ouja Mushi King: Super Collection
PT01,thomas smith,2018,26,X360,FlatOut: Ultimate Carnage
PT01,linda smith,2020,37,PS2,Higurashi no Naku Koro ni Matsuri
PT01,james wilson,2018,28,DS,Touch Detective 2 1/2
PT01,robert davis,2016,42,PSP,Rocky Balboa
PT01,mary brown,2019,44,DS,Master of the Monster Lair
PT01,mary jones,2018,26,PS2,Hitman Trilogy
PT01,patricia smith,2016,24,X360,Tetris Evolution
PT01,james moore,2020,27,DS,The Cheetah Girls: Pop Star Sensations
PT01,james taylor,2018,25,PSP,The BIGS
PT01,william miller,2016,33,DS,Sudokuro
PT01,john davis,2016,25,PS2,Final Fantasy XII International Zodiac Job System
PT01,charles johnson,2015,40,DS,Barbie in The 12 Dancing Princesses
PT01,william davis,2018,27,DS,Mystery P.I. - Portrait of a Thief
PT01,john jones,2016,31,X360,Warhammer: Battle March
PT01,richard johnson,2016,43,PS3,Karaoke Revolution Presents American Idol Encore 2
PT01,james anderson,2019,24,DS,Mechanic Master
PT01,robert taylor,2015,23,DS,Brain Quest: Grades 5 & 6
PT01,barbara smith,2016,33,X360,NFL Head Coach 09
PT01,michael moore,2020,25,DS,My SAT Coach with The Princeton Review
PT01,james martin,2019,34,PS2,Naruto Ultimate Collection
